,name,height,weight,Unnamed: 0.1,Unnamed: 0
0,alex,1.67,51.25,,
1,ajay,1.82,61.91,,
2,alice,1.76,69.41,,
3,ravi,1.73,64.56,,
4,joe,1.72,65.45,,
5,alex,1.67,51.25,,
6,ajay,1.82,61.91,,
7,alice,1.76,69.41,,
8,ravi,1.73,64.56,,
9,joe,1.72,65.45,,
10,alex,0.04,23.25,0.0,
11,ajay,0.05,28.08,1.0,
12,alice,0.04,31.48,2.0,
13,ravi,0.04,29.28,3.0,
14,joe,0.04,29.69,4.0,
15,alex,0.04,23.25,5.0,
16,ajay,0.05,28.08,6.0,
17,alice,0.04,31.48,7.0,
18,ravi,0.04,29.28,8.0,
19,joe,0.04,29.69,9.0,
20,alex,0.0,10.55,10.0,0.0
21,ajay,0.0,12.74,11.0,1.0
22,alice,0.0,14.28,12.0,2.0
23,ravi,0.0,13.28,13.0,3.0
24,joe,0.0,13.47,14.0,4.0
25,alex,0.0,10.55,15.0,5.0
26,ajay,0.0,12.74,16.0,6.0
27,alice,0.0,14.28,17.0,7.0
28,ravi,0.0,13.28,18.0,8.0
29,joe,0.0,13.47,19.0,9.0
30,alex,0.0,10.55,20.0,10.0
31,ajay,0.0,12.74,21.0,11.0
32,alice,0.0,14.28,22.0,12.0
33,ravi,0.0,13.28,23.0,13.0
34,joe,0.0,13.47,24.0,14.0
35,jack,0.0,11.51,25.0,15.0
36,tom,0.0,13.2,26.0,16.0
37,tracy,0.0,12.74,27.0,17.0
38,john,0.0,10.49,28.0,18.0
39,jack,0.0,11.51,29.0,19.0
40,tom,0.0,13.2,30.0,20.0
41,tracy,0.0,12.74,31.0,21.0
42,john,0.0,10.49,32.0,22.0
43,jack,0.0,11.51,33.0,23.0
44,tom,0.0,13.2,34.0,24.0
45,tracy,0.0,12.74,35.0,25.0
46,john,0.0,10.49,36.0,26.0
47,simon,0.0,10.49,37.0,27.0
48,jacob,0.0,11.26,38.0,28.0
49,cindy,0.0,11.89,39.0,29.0
50,ivan,0.0,10.65,40.0,30.0
51,simon,0.0,10.49,41.0,31.0
52,jacob,0.0,11.26,42.0,32.0
53,cindy,0.0,11.89,43.0,33.0
54,ivan,0.0,10.65,44.0,34.0
55,simon,0.0,10.49,45.0,35.0
56,jacob,0.0,11.26,46.0,36.0
57,cindy,0.0,11.89,47.0,37.0
58,ivan,0.0,10.65,48.0,38.0
59,alex,0.04,23.25,49.0,
60,ajay,0.05,28.08,50.0,
61,alice,0.04,31.48,51.0,
62,ravi,0.04,29.28,52.0,
63,joe,0.04,29.69,53.0,
64,jack,0.04,25.37,54.0,
65,tom,0.04,29.11,55.0,
66,tracy,0.05,28.08,56.0,
67,john,0.04,23.12,57.0,
68,jack,0.04,25.37,58.0,
69,tom,0.04,29.11,59.0,
70,tracy,0.05,28.08,60.0,
71,john,0.04,23.12,61.0,
72,jack,0.04,25.37,62.0,
73,tom,0.04,29.11,63.0,
74,tracy,0.05,28.08,64.0,
75,john,0.04,23.12,65.0,
76,simon,0.04,23.12,66.0,
77,jacob,0.04,24.83,67.0,
78,cindy,0.04,26.22,68.0,
79,ivan,0.04,23.48,69.0,
80,simon,0.04,23.12,70.0,
81,jacob,0.04,24.83,71.0,
82,cindy,0.04,26.22,72.0,
83,ivan,0.04,23.48,73.0,
84,simon,0.04,23.12,74.0,
85,jacob,0.04,24.83,75.0,
86,cindy,0.04,26.22,76.0,
87,ivan,0.04,23.48,77.0,
88,alex,1.67,51.25,,
89,ajay,1.82,61.91,,
90,alice,1.76,69.41,,
91,ravi,1.73,64.56,,
92,joe,1.72,65.45,,
93,jack,1.74,55.93,,
94,tom,1.77,64.18,,
95,tracy,1.78,61.9,,
96,john,1.72,50.97,,
97,jack,1.74,55.93,,
98,tom,1.77,64.18,,
99,tracy,1.78,61.9,,
100,john,1.72,50.97,,
101,jack,1.74,55.93,,
102,tom,1.77,64.18,,
103,tracy,1.78,61.9,,
104,john,1.72,50.97,,
105,simon,1.72,50.97,,
106,jacob,1.7,54.73,,
107,cindy,1.69,57.81,,
108,ivan,1.72,51.77,,
109,simon,1.72,50.97,,
110,jacob,1.7,54.73,,
111,cindy,1.69,57.81,,
112,ivan,1.72,51.77,,
113,simon,1.72,50.97,,
114,jacob,1.7,54.73,,
115,cindy,1.69,57.81,,
116,ivan,1.72,51.77,,
